,symbol,trade_date,open,high,low,close,volume,trade_date_fmt,prev_close,daily_pct_change
count,278817,278817,278817.0,278817.0,278817.0,278817.0,278817.0,278817,235125.0,278817.0
unique,43692,1,,,,,,,,
top,BBAS3T,202507,,,,,,,,
freq,134,278817,,,,,,,,
mean,,,7.412706076028362,3817902065.542182,3748252796.7085886,1915834400.3481421,71451543126.9121,2025-07-01 00:00:00,1859077256.7817032,31464854300.48221
min,,,0.0,0.0,0.0,0.0,0.0,2025-07-01 00:00:00,0.0,-100.0
25%,,,0.02,1000000000.0,1100000000.0,170000000.0,2000000000.0,2025-07-01 00:00:00,180000000.0,-15.151515151515152
50%,,,0.09,4000000000.0,3200000000.0,740000000.01,8900000000.0,2025-07-01 00:00:00,710000000.0,0.0
75%,,,0.43,6000000000.02,6000000000.02,2750000000.0,41700000000.0,2025-07-01 00:00:00,2590000000.0,10.83743842364532
max,,,15000.0,9000000024.79,9900000002.46,9990000000.1,999900000001.0,2025-07-01 00:00:00,9990000000.09,99899999999900.0
std,,,216.54689884673974,2957083398.680519,2937046024.872654,2486593962.3100786,167271228763.83524,,2443288844.8186493,1198879760573.8503
