symbol,count
BBAS3T,134
VALE3T,128
PETR4T,90
WEGE3T,69
CSAN3T,64
SPXR11T,63
BRAV3T,56
USIM5T,52
AZUL4T,51
MGLU3T,51
BBSE3T,46
BOVA11T,46
BBDC4T,45
EMBR3T,43
PRIO3T,43
VAMO3T,42
CMIG4T,35
BRKM5T,34
GFSA3T,34
ITSA4T,33
BEEF3T,32
INBR32T,31
COGN3T,30
HAPV3T,29
MRVE3T,29
RAIZ4T,29
SIMH3T,29
ITUB4T,28
BHIA3T,27
KEPL3T,27
SUZB3T,27
JBSS32T,26
CXSE3T,25
MOVI3T,24
A1AP34,23
A1LB34,23
A1MD34,23
A1MT34,23
A1NE34,23
A1RE34,23
A1ZN34,23
A2XO34,23
AAGR11,23
AALL34,23
AALR3,23
AALR3F,23
AAPL34,23
AAZQ11,23
ABBV34,23
ABCB4,23
ABCB4F,23
ABCP11,23
ABEV3,23
ABEV3F,23
ABEVH132,23
ABEVH140,23
ABEVH142,23
ABEVH145,23
ABEVH15,23
ABEVH16,23
ABEVT127,23
ABEVT130,23
ABEVT132,23
ABEVT135,23
ABEVT140,23
ABEVT15,23
ACWI11,23
ADBE34,23
AERI3,23
AERI3F,23
AFHI11,23
AFLT3F,23
AGRI11,23
AGRO3,23
AGRO3F,23
AGRX11,23
AGXY3,23
AGXY3F,23
AIEC11,23
AIRB34,23
AJFI11,23
ALLD3,23
ALLD3F,23
ALOS3,23
ALOS3F,23
ALPA3,23
ALPA3F,23
ALPA4,23
ALPA4F,23
ALPK3,23
ALPK3F,23
ALUG11,23
ALUP11,23
ALUP11F,23
ALUP3,23
ALUP3F,23
ALUP4,23
ALUP4F,23
ALZC11,23
ALZR11,23
AMAR11F,23
AMAR3,23
AMAR3F,23
AMBP3,23
AMBP3F,23
AMER3,23
AMER3F,23
AMOB3,23
AMOB3F,23
AMZO34,23
ANIM3,23
ANIM3F,23
APTO11,23
APXM11,23
ARGT39,23
ARML3,23
ARML3F,23
ARMT34,23
ARNC34,23
AROA11,23
ARRI11,23
ARXD11,23
ASAI3,23
ASAI3F,23
ASAIT105,23
ASML34,23
ATED3,23
ATED3F,23
ATTB34,23
AURA33,23
AURE3,23
AURE3F,23
AUVP11,23
AVGO34,23
AVLL3,23
AVLL3F,23
AXPB34,23
AZEV11,23
AZEV3,23
AZEV3F,23
AZEV4,23
AZEV4F,23
AZIN11,23
AZPL11,23
AZTE3,23
AZTE3F,23
AZUL11,23
AZUL11F,23
AZUL4,23
AZUL4F,23
AZULH100,23
AZZA3,23
AZZA3F,23
B1AM34,23
B1NT34,23
B1PP34,23
B1TI34,23
B2HI34,23
B2YN34,23
B3SA3,23
B3SA3F,23
B3SAH122,23
B3SAH127,23
B3SAH132,23
B3SAH134,23
B3SAH137,23
B3SAH140,23
B3SAH142,23
B3SAH144,23
B3SAH147,23
B3SAH149,23
B3SAH152,23
B3SAH154,23
B3SAH157,23
B3SAT125,23
B3SAT127,23
B3SAT129,23
B3SAT132,23
B3SAT134,23
B3SAT137,23
B3SAT140,23
B3SAT142,23
BAAX39,23
BABA34,23
BACW39,23
BAZA3,23
BAZA3F,23
BBAS3,23
BBAS3F,23
BBASA211,23
BBASE13,23
BBASH204,23
BBASH209,23
BBASH211,23
BBASH214,23
BBASH216,23
BBASH221,23
BBASH224,23
BBASH226,23
BBASH229,23
BBASH231,23
BBASH236,23
BBASH239,23
BBASH240,23
BBASH241,23
BBASH242,23
BBASH244,23
BBASH246,23
BBASH249,23
BBASH25,23
BBASH259,23
BBASH26,23
BBASH261,23
BBASH264,23
BBASH269,23
BBASH271,23
BBASH49,23
BBASH580,23
BBASI222,23
BBASI225,23
BBASI227,23
BBASI230,23
BBASI232,23
BBASI235,23
BBASI240,23
BBASI242,23
BBASI245,23
BBASI247,23
BBASI252,23
BBASI26,23
BBASL251,23
BBASM45,23
BBAST179,23
BBAST181,23
BBAST184,23
BBAST186,23
